file_name,magnitude_mean,magnitude_var,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,tonnetz_mean,tonnetz_var,spectral_flatness_mean,spectral_flatness_std,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc14_mean,mfcc15_mean,mfcc16_mean,mfcc17_mean,mfcc18_mean,mfcc19_mean,mfcc20_mean,mfcc1_var,mfcc2_var,mfcc3_var,mfcc4_var,mfcc5_var,mfcc6_var,mfcc7_var,mfcc8_var,mfcc9_var,mfcc10_var,mfcc11_var,mfcc12_var,mfcc13_var,mfcc14_var,mfcc15_var,mfcc16_var,mfcc17_var,mfcc18_var,mfcc19_var,mfcc20_var,spectral_contrast_1_mean,spectral_contrast_2_mean,spectral_contrast_3_mean,spectral_contrast_4_mean,spectral_contrast_5_mean,spectral_contrast_6_mean,spectral_contrast_7_mean,spectral_contrast_1_std,spectral_contrast_2_std,spectral_contrast_3_std,spectral_contrast_4_std,spectral_contrast_5_std,spectral_contrast_6_std,spectral_contrast_7_std,genre
/blues/blues.00000.wav,-57.706177,224.98035,0.34271172,0.08850292,0.13014947,0.0028428717,1733.9487174229384,115874.1565239908,1996.3767451695353,81486.91319595702,3726.144135182856,3726.144135182856,0.07677504595588236,0.0005872435006173099,-4.764354e-05,0.008738525,-9.874996e-06,0.0053463234,123.046875,0.01340015100504432,0.009066791349942089,0.003852464,1.9535824e-05,-119.322235,124.26197,-18.103764,42.92595,-7.5834627,19.721226,-13.70457,16.909542,-13.102379,11.939892,-8.379593,10.276625,-4.390315,6.491713,-6.196605,0.33478743,-1.9735907,0.3978714,-2.51036,1.7473927,2671.9604,289.72125,219.55907,174.03548,150.57733,90.41674,71.66326,64.127144,92.38234,61.49378,60.400265,52.461483,41.998302,38.83898,53.138447,59.42051,39.679317,44.772964,53.738197,43.49123,16.253068819891617,15.169708794715994,18.642698828768264,18.483559382547377,18.790875452834154,17.19814385820704,39.47091562916603,18.711846927284725,16.209742659076873,21.87285211396591,12.191436852022033,11.77077575306902,6.672390745614008,10.045928355630755,blues
/blues/blues.00000.wav,-58.60919,214.23929,0.3573558,0.088894784,0.13014731,0.0028240932,1834.9544949845747,138514.37257024433,2009.369525264582,89921.1222792514,3886.5764984036377,3886.5764984036377,0.08923528807082043,0.0008729677323309915,-4.732703e-05,0.0076119327,2.8000642e-05,0.006042144,123.046875,0.004533511002511119,0.0075750893038320525,0.0051723053,4.042399e-05,-108.71879,119.96081,-21.295341,42.83679,-6.230523,18.557905,-14.702557,14.760733,-12.4468355,10.920718,-9.14791,8.189899,-3.736805,5.7459893,-4.8289967,1.8244923,-1.9945675,-0.66384614,-2.58762,1.1277344,2435.0173,298.5191,242.36623,128.99356,183.43474,87.90603,60.429348,72.95865,70.68161,65.14842,61.571995,48.996372,40.46487,42.290676,46.24083,43.3224,33.54151,38.625896,56.628376,50.504017,15.74047820981115,15.032170986563143,18.266446035694507,18.239683210947952,19.03710861900431,17.177184928299198,39.76932095058169,19.787611672811835,18.96240337955333,20.765281780268978,14.109979815021365,12.529124834062344,6.054819221461574,10.907248647202051,blues
/blues/blues.00001.wav,-63.333183,227.1762,0.35387096,0.09334688,0.091824114,0.002347678,1461.1002147856636,423355.61303401843,1916.179049696507,237475.24623939054,3248.2803580930727,3248.2803580930727,0.058119829963235295,0.0017848009078408433,0.0001364867,0.004755834,-0.00015861572,0.0028983804,67.99958881578948,0.06419955661560074,0.011790440203159926,0.0022093737,3.1269217e-05,-218.36232,128.45268,1.9767253,36.01748,5.6939373,20.424116,-8.162189,22.301743,-7.691692,11.1944685,-1.7204775,8.572539,-2.4862945,3.6939478,-5.2347546,1.3265382,0.6839359,-0.39293122,-1.5118991,-0.072248384,8873.759,617.2884,816.6268,289.371,235.41273,184.22218,263.38287,143.68805,181.70891,103.54292,86.43681,97.39767,66.37348,70.312515,58.077667,70.230034,57.763508,48.95447,49.89159,48.026993,15.958150536802615,17.202458516389466,19.114515042290883,19.30901297143891,18.500212135201085,17.57012125381909,36.105051866955826,16.739606058661124,22.85108104680574,24.64932925664999,18.058707855906132,15.618310909659881,12.802374764936706,36.325134672637496,blues
/blues/blues.00001.wav,-61.779404,208.75963,0.32516864,0.09535839,0.09984997,0.002363932,1598.4668551042191,319312.91293425445,2161.1764607685145,160495.38650874424,3849.19339112084,3849.19339112084,0.053761579672987614,0.001101791323922954,0.00014614857,0.00544115,-0.00020081433,0.0032249556,66.25600961538461,0.044507923766862474,0.011380527364804128,0.0024681848,2.3368579e-05,-197.64835,120.6049,14.904134,36.645515,-0.6682809,23.335577,-9.594422,24.986362,-13.0397215,13.072503,-9.793349,2.5544055,-2.297575,4.997737,-7.0146255,0.70631593,-2.252749,1.0815315,0.86516637,1.2303896,6537.0503,488.42123,257.27548,239.24405,293.88425,120.20066,135.16054,135.80592,133.61649,102.5013,88.63932,80.68922,64.141655,76.37197,45.1993,42.039993,58.837986,46.132027,49.86176,42.91232,16.007926326221146,16.929112437165447,19.151172395542563,19.062443290444506,18.145606511106887,17.435419721284397,38.80079468386746,18.73495332124743,19.62464188447607,21.783924773500416,18.685555421674785,8.933744700101572,6.869008474028132,29.259604550135123,blues
/blues/blues.00002.wav,-57.200237,266.0768,0.3751069,0.086613014,0.17149208,0.0019255589,1520.4695893659673,191720.57247426477,1732.0741212059645,63375.68236868821,3028.398354356134,3028.398354356134,0.07124522300696594,0.0013587721333672238,-4.56166e-06,0.01383173,-1.3870258e-05,0.0075600366,161.4990234375,0.021557094158581713,0.013000168462286549,0.0025891885,1.335956e-05,-93.60028,142.71855,-27.05043,34.551964,-17.3176,25.92401,-12.816636,11.018242,-11.502664,7.710119,-13.364599,4.336961,-8.084108,-2.5234566,-8.547703,2.8673787,-6.938893,-1.8021557,-1.9530575,-2.710975,3022.0562,510.66284,336.80554,126.79578,170.2484,78.54321,119.5654,107.244156,74.70121,65.40261,57.48329,55.24468,60.01724,57.519653,40.418255,40.43057,49.8582,41.867733,46.809883,30.98423,26.846784588290944,14.109296347771894,17.69075171534345,18.806013105608972,19.31942937178925,18.2564265016308,38.55443265756576,29.43909288860128,14.886674828643015,25.971671637853202,17.28398744019258,11.49315411938752,7.867309750816453,11.078401062605934,blues
/blues/blues.00002.wav,-54.968716,282.26306,0.35114676,0.08331316,0.17938043,0.0035604849,1584.6750714478483,119321.7335766151,1762.7126829710537,88459.12192280487,3053.448202883127,3053.448202883127,0.08125650033862229,0.0006101812908563954,5.9510035e-06,0.018901996,-1.6303717e-05,0.007335769,161.4990234375,0.020200191077922904,0.015480026668377273,0.0026845138,9.07868e-06,-88.77864,139.29295,-32.2303,29.898062,-11.6980505,26.590248,-15.484711,13.192184,-12.992076,12.619998,-13.73568,8.085267,-10.51924,1.1002462,-10.584597,2.706502,-9.11504,-1.2576392,-5.4350142,-1.2780157,3629.0,504.84665,479.1218,145.70792,117.57459,69.0915,91.25818,103.534454,55.63862,61.121902,57.41335,68.62538,59.242,53.757862,31.591633,40.79726,44.59358,63.647526,42.229885,29.959856,25.727655008907032,14.280810309756331,17.70064727458514,20.0178904347175,21.367827983713706,18.3682601355666,39.42443265963176,29.475081668980742,16.6914460923,24.083409521957787,17.09055578193018,15.037674175500454,9.218140630768477,11.78116432952119,blues
/blues/blues.00003.wav,-67.86832,189.37244,0.40089118,0.0936831,0.1365065,0.006938672,1012.8128258370512,171847.4468408496,1508.425905010164,170828.37307094177,2065.7708418996713,2065.7708418996713,0.031989980408281736,0.00033370088320444185,1.9477344e-05,0.019151552,-1.10919755e-05,0.002424781,63.02400914634146,0.03690116671572768,0.023796235354271923,0.00081848644,1.4486922e-06,-210.20847,154.12358,4.2976723,25.38118,3.7468212,10.979348,-3.6650379,9.999147,1.8092412,8.853856,0.58056885,5.1961117,-2.8630424,-0.18976867,-2.6508982,0.0017866956,-0.5990941,0.9737165,0.03451973,-2.0115995,5965.0215,555.4698,290.31647,141.3516,212.52055,122.08805,182.31573,64.776955,79.12344,62.369377,74.45161,39.09086,40.036022,38.521976,42.621147,34.657223,36.226368,36.213627,32.119656,31.182644,29.622142211971507,14.510215477211315,17.182322704963877,19.01732127239479,18.431812693438143,16.782461565435117,33.06018462556729,25.963872603275952,16.693359615935506,17.26977803545144,11.439234117498586,10.831134658847033,5.488787493001211,23.172274553016287,blues
/blues/blues.00003.wav,-65.570175,191.32748,0.41098592,0.09573335,0.14569344,0.005708667,1128.2690530559507,190123.9146898911,1686.0379697010403,145957.7820172119,2305.386059645898,2305.386059645898,0.03459918609713622,0.0005096998676480712,-1.1237446e-05,0.018991143,-2.53299e-05,0.002975028,63.02400914634146,0.03149235546406086,0.025861836646816783,0.0010921501,3.83844e-06,-189.12447,146.701,6.337699,28.941969,-0.7467902,17.957695,-6.4090695,8.9562025,-3.6427233,7.7634225,-7.2664967,7.244683,-2.3030066,-1.7535691,-3.2551587,1.7135371,-6.1407933,0.3944191,-1.347705,-4.75722,4820.4497,327.70526,219.4967,169.27199,313.11795,110.59081,126.838165,97.23322,93.31299,79.70478,118.43616,56.00834,73.653595,84.61185,61.417263,52.970165,50.214367,38.433178,41.77904,28.752455,29.91064164590314,15.026794190463402,17.259519726114615,18.224942083241757,18.52260820793917,16.77428417800516,35.39947945998516,24.493820669674612,16.1806810314358,17.867659864200565,10.127893456253563,10.949670068609935,5.18401155428896,19.653169233269455,blues
/blues/blues.00004.wav,-60.28116,260.08255,0.30104744,0.089609936,0.100176044,0.0027308015,1960.4161970366454,436846.5653933233,1781.3003856590426,102026.14060104778,3799.0770275009677,3799.0770275009677,0.11419658838041796,0.002769660965818093,-2.4325787e-05,0.006568741,1.1661236e-06,0.0030928925,135.99917763157896,-0.033394467561015155,0.022501587311911198,0.0035144344,2.7150118e-05,-153.2812,120.05273,-36.76495,23.638622,-34.247036,12.5095415,-23.003307,1.5769063,-12.57934,2.5414727,-14.652582,-2.8573184,-5.554409,-7.1818767,-10.080303,-3.7516515,-6.5809684,-0.021845484,-4.7340283,-13.63049,4973.598,1082.7289,343.62384,208.74248,309.08023,149.03777,100.39635,135.23024,157.48982,104.62849,82.92171,93.297386,107.02392,88.16483,91.671234,109.1264,80.53095,64.56555,73.498764,62.8415,16.96729294426754,16.02632028606188,19.347132996654008,21.40723954902108,21.587538266653837,20.742645793474008,38.13608981278264,18.2524778994096,17.908002863152866,17.086088505293574,19.368541810433094,16.26202939388997,14.98807424296327,30.896333223056924,blues
/blues/blues.00004.wav,-57.423405,295.31775,0.31492454,0.08508362,0.08282717,0.0017325587,1710.0326861781587,218700.57434398614,1715.212446242143,72782.34363377857,3362.17966935952,3362.17966935952,0.08861548834171827,0.0008128373413267662,-9.622633e-06,0.003069866,-2.2474194e-05,0.0030945893,135.99917763157896,-0.042681116843681366,0.01912299616351167,0.0029698361,1.0663926e-05,-170.6064,136.96039,-38.930294,25.10255,-34.997833,13.389313,-27.662827,3.2223532,-14.557173,3.2060385,-14.548531,0.05627517,-10.806486,-5.7109637,-10.176665,-3.611796,-5.666585,-0.70688885,-4.9272227,-9.142637,5414.3477,579.74713,299.43692,164.35486,340.65442,105.03449,83.48956,106.86419,97.391335,88.59011,72.1258,78.05615,68.54164,54.469124,58.898693,64.68295,71.44092,40.763554,51.129307,40.61068,17.099641554144505,15.368690352884157,18.870386199260476,19.637300081166245,19.969527649039556,18.6875556841488,36.4744017158874,19.36065583190076,13.743553947772421,16.166299167905677,16.533814105465204,15.548190573276976,10.433112739473101,21.56417849083234,blues
